N1309,Gebietsname,Wahlberechtigte,Abgegebene,Ungültige,Gültige,SPÖ,ÖVP,FPÖ,BZÖ,GRÜNE,FRANK,NEOS,KPÖ,PIRAT,CPÖ,WANDL,M,EUAUS,SLP,
G00000,Österrreich,6384308,4782410,89503,4692907,1258605,1125876,962313,165746,582657,268679,232946,48175,36265,6647,3051,490,510,947,
G10000,Burgenland,232505,192486,4102,188384,70222,50426,32705,3689,12718,11050,5327,930,871,446,,,,,
G1A000,Burgenland Nord,121167,100055,2172,97883,36185,24925,17418,1998,7422,5292,3332,552,529,230,,,,,
G1A099,Wahlkarten - Burgenland Nord,0,259,3,256,59,54,33,10,47,13,32,4,3,1,,,,,
G1B000,Burgenland Süd,111338,92414,1913,90501,34037,25501,15287,1691,5296,5758,1995,378,342,216,,,,,
G1B099,Wahlkarten - Burgenland Süd,0,346,6,340,76,65,48,17,70,22,35,3,3,1,,,,,
G10099,Wahlkarten - Burgenland,0,17,17,0,0,0,0,0,0,0,0,0,0,0,,,,,
G10100,Eisenstadt(Stadt),10407,8200,163,8037,1868,2744,1157,165,1025,446,489,53,62,28,,,,,
G10101,Eisenstadt,10407,7378,149,7229,1699,2421,1084,155,888,419,434,47,54,28,,,,,
G10199,Wahlkarten - Eisenstadt(Stadt),0,822,14,808,169,323,73,10,137,27,55,6,8,0,,,,,
G10200,Rust(Stadt),1554,1275,24,1251,486,282,259,20,78,80,35,6,3,2,,,,,
G10201,Rust,1554,1167,21,1146,454,254,237,17,69,73,34,3,3,2,,,,,
G10299,Wahlkarten - Rust(Stadt),0,108,3,105,32,28,22,3,9,7,1,3,0,0,,,,,
G10300,Eisenstadt-Umgebung,33380,28128,609,27519,10576,6882,4554,607,2067,1631,853,149,144,56,,,,,
G10301,Breitenbrunn am Neusiedler See,1586,1187,23,1164,455,254,171,35,113,64,50,9,9,4,,,,,
G10302,Donnerskirchen,1458,1108,19,1089,332,384,172,23,75,63,30,3,5,2,,,,,
G10303,Großhöflein,1655,1229,27,1202,379,347,192,42,95,94,46,4,3,0,,,,,
G10304,Hornstein,2217,1576,38,1538,616,291,278,47,123,104,60,9,8,2,,,,,
G10305,Klingenbach,909,704,9,695,354,164,92,11,20,38,9,4,1,2,,,,,
G10306,Leithaprodersdorf,974,808,23,785,180,368,106,9,53,36,25,6,0,2,,,,,
G10307,Mörbisch am See,1869,1432,26,1406,550,302,302,22,79,87,41,9,8,6,,,,,
G10308,Müllendorf,1089,851,27,824,323,171,143,25,70,46,29,5,5,7,,,,,
G10309,Neufeld an der Leitha,2449,1813,42,1771,757,205,398,60,142,121,61,12,15,0,,,,,
G10310,Oggau am Neusiedler See,1515,1280,42,1238,501,369,208,15,51,53,30,5,2,4,,,,,
G10311,Oslip,1039,862,16,846,365,257,83,6,62,41,20,8,1,3,,,,,
G10312,Purbach am Neusiedler See,2302,1759,33,1726,537,516,326,39,136,94,62,6,9,1,,,,,
G10313,Sankt Margarethen im Burgenland,2307,1790,42,1748,523,597,317,42,119,90,43,7,10,0,,,,,
G10314,Schützen am Gebirge,1129,903,22,881,256,313,148,17,56,60,20,6,3,2,,,,,
G10315,Siegendorf,2236,1735,43,1692,910,203,248,26,124,116,46,4,12,3,,,,,
G10316,Steinbrunn,1931,1483,27,1456,644,252,243,31,99,98,67,11,11,0,,,,,
G10317,Trausdorf an der Wulka,1576,1244,23,1221,520,268,179,31,95,69,38,9,8,4,,,,,
G10318,Wimpassing an der Leitha,1070,815,9,806,225,188,229,18,54,63,24,2,3,0,,,,,
G10319,Wulkaprodersdorf,1496,1171,33,1138,454,302,129,26,117,60,27,9,12,2,,,,,
G10320,Loretto,384,283,8,275,84,87,58,5,19,18,4,0,0,0,,,,,
G10321,Stotzing,650,452,12,440,162,141,72,14,16,20,10,2,2,1,,,,,
G10322,Zillingtal,745,553,13,540,196,126,80,11,59,35,26,5,2,0,,,,,
G10323,Zagersdorf,794,619,15,604,259,171,72,13,42,32,8,3,2,2,,,,,
G10399,Wahlkarten - Eisenstadt-Umgebung,0,2471,37,2434,994,606,308,39,248,129,77,11,13,9,,,,,
G10400,Güssing,21803,18132,346,17786,6423,5598,2676,320,952,1281,375,71,53,37,,,,,
G10401,Bocksdorf,676,537,13,524,218,120,92,11,17,55,9,1,1,0,,,,,
G10402,Burgauberg-Neudauberg,1113,848,23,825,258,267,136,15,39,76,20,8,6,0,,,,,
G10403,Eberau,779,613,5,608,153,307,75,7,20,30,14,0,1,1,,,,,
G10404,Gerersdorf-Sulz,858,662,10,652,223,252,65,15,47,35,10,2,3,0,,,,,
G10405,Güssing,3011,2107,38,2069,724,657,311,41,143,131,43,9,5,5,,,,,
G10406,Güttenbach,761,572,15,557,187,216,60,13,34,32,10,3,1,1,,,,,
G10407,Heiligenbrunn,712,547,11,536,140,247,88,5,22,23,9,1,1,0,,,,,
