Bez;Gemnr;Gemeinde;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
I;70101; Innsbruck             ;730456;685994;653060;630769;670168;681156;696371;730242;727773;641945;750690;753707;785081;812140;839178;895723;890975;925877;985134;999749
IM;70201; Arzl im Pitztal       ;75836;71599;69645;71103;67580;69060;63287;69012;68404;71727;71775;64230;60588;60995;62867;57369;47250;58492;61924;65482
IM;70202; Haiming               ;47318;44899;54101;53313;47691;50772;51507;50711;47039;42035;45781;39567;40919;55354;57419;61714;65273;74677;80373;76541
IM;70203; Imst                  ;112164;97202;125549;129141;122898;120139;112734;136195;139566;131313;135254;138287;131901;138517;131788;124459;132692;133409;157602;158951
IM;70204; Imsterberg            ;6510;6044;7123;7458;8650;6479;5957;4240;4851;4985;4834;5057;5638;5803;5291;4288;5305;10172;5824;7970
IM;70205; Jerzens               ;66103;61726;61837;64560;66499;67420;83290;99857;87988;84689;80573;84007;79481;82783;75945;73211;91498;88259;88358;86239
IM;70206; Karres                ;2446;2753;3025;4262;3236;2709;2716;2143;2096;1961;2654;3341;3141;2939;2586;2902;2799;2882;2978;2752
IM;70207; Karrösten             ;11375;10448;11913;11637;13285;15311;15796;14525;13941;14334;14700;19497;18268;18908;19885;20800;23568;23327;22948;22608
IM;70208; Längenfeld            ;192890;195482;209221;224716;238110;239125;230399;249845;258136;262853;257056;254644;263591;277888;284932;296785;312800;310859;302741;329116
IM;70209; Mieming               ;85477;77628;76859;73110;72287;74172;74797;77093;75380;73809;75372;81886;85114;85958;86577;87097;90757;91320;95123;102674
IM;70210; Mils bei Imst         ;640;695;469;2405;2915;3010;2727;2897;2880;2563;2303;2541;2259;2241;2274;2224;2339;2181;2414;2254
IM;70211; Mötz                  ;2346;2635;2121;633;699;796;598;662;598;540;483;465;918;641;725;555;590;436;381;275
IM;70212; Nassereith            ;65840;63357;69370;63526;56050;54264;50344;52575;46483;46278;42320;42007;45925;44311;43304;46045;47039;48353;55736;55034
IM;70213; Obsteig               ;110892;96761;100315;93660;85900;77124;77604;91126;97448;78364;77533;60548;58645;80315;80905;87383;81788;85108;88632;91292
IM;70214; Oetz                  ;130882;123305;120184;130786;115388;112982;99350;109622;111597;111708;110106;118257;116073;117498;117569;120385;125117;126122;123007;125770
IM;70215; Rietz                 ;2808;2974;3155;2361;3219;2417;2484;4437;5070;4604;4804;2528;3994;2234;2552;5055;4878;4548;4911;5325
IM;70216; Roppen                ;10933;9697;9178;8368;9118;8393;7765;7699;7218;8839;20522;31696;43838;46251;47636;51490;52936;47396;46848;45315
IM;70217; StLeonhard/Pitztal   ;164836;157519;164986;153473;160676;155731;148293;152151;165238;155054;162043;157365;164232;183337;186419;178140;192483;192263;185859;199205
IM;70218; Sautens               ;50796;50360;46583;49665;45707;48670;48752;50566;54875;55877;56317;55836;47326;53822;52980;55406;58412;56027;58128;55519
IM;70219; Silz                  ;35750;21349;14242;16682;15274;20971;19873;24315;24199;21395;18747;16327;23002;20078;18035;13776;14646;16450;17577;13621
IM;70220; Sölden                ;401066;371144;390493;381430;371703;376492;309957;352310;382308;383588;386423;405907;404520;427873;440161;433049;484615;483784;479686;509811
IM;70221; Stams                 ;10045;9077;7329;7726;10160;10848;12431;16364;14631;13392;12947;10653;13247;14661;14117;15912;15357;15133;14633;16409
IM;70222; Tarrenz               ;27188;28176;30041;35091;33125;32633;32616;30197;26715;24096;30718;35852;31995;30996;29363;35157;34117;40468;43590;37792
IM;70223; Umhausen              ;81730;78228;81793;87555;87470;80462;72105;74127;82225;85661;83685;103422;125485;128392;124737;120199;128429;125287;135957;150756
IM;70224; Wenns                 ;59559;58540;60822;60928;57378;58135;55666;57392;59062;64368;67032;65421;64171;61188;62744;61411;67710;70804;69970;65552
IL;70301; Absam                 ;11662;11199;11936;11820;11591;14099;15133;15215;17485;16701;14000;18093;13250;16580;13309;15954;13818;14546;18006;17033
IL;70302; Aldrans               ;14967;15174;13972;12057;12072;12904;11029;11242;11265;10619;10194;9476;9552;9259;7957;9099;8890;9934;10610;9267
IL;70303; Ampass                ;8173;7152;10186;10058;8598;7544;7281;8324;7569;6538;6162;7049;6971;6939;6870;7112;9319;11266;10702;10483
IL;70304; Axams                 ;37326;45808;37098;38845;42065;44654;43739;44882;46340;41429;50938;55776;56209;58298;60953;75639;66672;76852;83012;84286
IL;70305; Baumkirchen           ;1656;1848;924;1083;1257;844;1336;1817;290;476;634;30;134;368;803;851;931;1437;1189;1550
IL;70306; Birgitz               ;13577;13212;12526;14456;13108;13030;13494;15251;14527;11871;13302;12281;10764;8014;8039;8516;7985;9641;8726;8621
