Bez;Gemnr;Gemeinde;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
I;70101; Innsbruck             ;454440;485436;488649;488026;503198;519628;508514;525369;584257;533182;569507;581081;631423;633126;634591;667645;703027;714566;737644;781571
IM;70201; Arzl im Pitztal       ;64265;65456;66883;68566;66460;65778;61811;60379;64720;65929;63736;59891;57369;56672;55441;56322;44337;51541;58347;57125
IM;70202; Haiming               ;33794;31345;41388;37792;43472;41565;38725;34509;40540;39478;41151;37276;41131;56697;59792;62490;63236;66098;78794;75370
IM;70203; Imst                  ;68501;78619;76394;79928;85455;83398;96028;87531;104521;96255;86502;90295;89639;94607;88893;87118;83214;84405;87831;96888
IM;70204; Imsterberg            ;3973;5733;4235;4851;5311;4375;4621;4000;2751;3114;2987;3436;3989;4413;3741;4116;3457;4368;4685;5701
IM;70205; Jerzens               ;137710;151639;151050;170391;171828;165762;153124;159216;160273;159749;153680;149548;150414;153962;145673;149557;147119;143802;148990;137466
IM;70206; Karres                ;758;990;1134;2319;1432;1482;1539;1274;1484;1483;1366;1757;2144;2242;2051;1924;2559;2343;2412;2156
IM;70207; Karrösten             ;7324;9126;8523;10330;7875;8857;10567;11015;11406;10619;10005;11803;14724;15558;15246;15587;13936;15491;15736;16238
IM;70208; Längenfeld            ;257382;301368;308852;327750;335179;349640;354729;356414;395528;396209;387066;373929;384705;396653;398502;427154;426802;428142;415773;422621
IM;70209; Mieming               ;43370;46975;45591;39641;43770;47424;51618;51738;50249;48487;48490;51299;60582;58616;57124;63715;63056;63588;63615;73107
IM;70210; Mils bei Imst         ;122;247;229;1749;2308;2469;2644;2722;3021;2576;2275;2332;2555;2132;2241;2358;2528;2547;2527;2288
IM;70211; Mötz                  ;461;681;462;543;224;407;244;381;139;267;86;128;454;710;314;425;639;711;248;237
IM;70212; Nassereith            ;28019;23173;25228;24293;15588;13309;11478;11132;11923;11861;11100;11242;12248;12895;11731;12328;13416;13088;16013;16777
IM;70213; Obsteig               ;52449;58798;46068;46481;44157;47556;46682;43067;64348;63083;60461;40307;37116;33359;54595;63312;50661;63094;67629;69541
IM;70214; Oetz                  ;122401;137763;135740;137293;134817;136574;130357;121826;136533;134935;132583;125432;136717;140190;134489;144730;150325;143299;152742;143819
IM;70215; Rietz                 ;1581;1322;2492;1161;1527;1124;1180;2056;3141;3769;2872;1688;3004;1855;1160;3796;3277;3164;3444;4331
IM;70216; Roppen                ;8200;7162;7062;6520;6326;6149;4932;4832;4989;4959;4189;3933;4133;3065;3702;4450;4176;3216;2498;3667
IM;70217; StLeonhard/Pitztal   ;338196;347991;341594;363813;345462;335934;308805;320055;355306;346149;336484;328293;343227;366608;348866;356424;360162;360519;341386;338541
IM;70218; Sautens               ;29902;37666;38815;43124;43944;47313;42239;45964;46671;45249;44256;40139;47339;44437;43020;49720;51198;47951;49975;45937
IM;70219; Silz                  ;127558;134857;138898;142096;139018;135339;148916;152212;157518;160638;159202;167063;176729;179198;187988;194188;192908;191047;207168;213307
IM;70220; Sölden                ;1644428;1780619;1717281;1796376;1804040;1713921;1715724;1728056;1832873;1835706;1794908;1875335;1906463;1883135;1940286;2029505;2042641;2083144;2048821;2067037
IM;70221; Stams                 ;1918;3616;1112;1195;534;1425;557;2614;4264;4474;2731;3191;3774;3529;3040;4586;5371;5779;6281;6300
IM;70222; Tarrenz               ;16194;15487;17411;20493;20553;20525;21084;20736;18617;18589;17986;17797;21687;20242;17506;20924;20095;24687;30040;24614
IM;70223; Umhausen              ;73535;80608;85520;88250;91414;86682;75356;76459;90534;85791;81997;87059;112879;122190;124267;130123;128024;130217;135474;148415
IM;70224; Wenns                 ;56948;58790;62786;71944;67652;67831;60006;60592;62847;63309;66193;62185;64496;65291;64374;63226;61491;64344;67500;69502
IL;70301; Absam                 ;9750;9029;9189;8826;8054;8430;9157;9951;11571;11111;9627;10097;10259;9222;8293;7670;8239;7787;9279;9734
IL;70302; Aldrans               ;10545;10694;9827;9948;8721;9036;9095;9050;9003;8596;8533;7867;7684;7015;7660;6860;6685;7788;8163;5719
IL;70303; Ampass                ;2406;3332;3067;6032;5760;4745;4196;4231;4609;3777;4137;3982;4141;4908;4099;4679;5974;7918;7072;7397
IL;70304; Axams                 ;62415;77392;83253;69263;70138;71286;67872;69088;73905;67978;71112;68496;70691;72001;73412;84362;83904;83107;89788;89137
IL;70305; Baumkirchen           ;604;337;994;432;581;516;535;635;777;321;234;153;96;63;51;733;771;1062;1123;945
IL;70306; Birgitz               ;13583;13946;15224;14387;14788;13191;13032;12770;13583;10969;11430;10190;11279;8968;7612;8625;7992;8097;8617;8188
