Bezirk;Gemnr;Gemeinde;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
I;70101;Innsbruck ;111305;112174;112759;109150;109763;110454;110997;111752;112350;112882;112938;113425;114438;115643;116370;116649;117252;118177;118895;119846;122458;124579;126965;131009;132236;132493;132110
IM;70201;Arzl im Pitztal;2492;2669;2693;2737;2738;2729;2779;2759;2765;2776;2804;2859;2924;2926;2933;2969;2943;2946;2972;2989;2983;3030;3039;3042;3088;3134;3157
IM;70202;Haiming;3625;3701;3677;3725;3741;3739;3768;3784;3858;3906;3925;3912;3947;4009;4142;4228;4226;4269;4346;4457;4444;4474;4528;4535;4608;4659;4697
IM;70203;Imst;7925;8145;7984;8071;8268;8399;8542;8620;8717;8821;8862;8947;9070;9221;9410;9409;9514;9459;9480;9504;9552;9661;9827;10115;10371;10504;10628
IM;70204;Imsterberg;683;687;703;706;709;722;734;728;729;733;738;732;745;747;745;770;759;755;749;743;761;757;774;763;769;777;801
IM;70205;Jerzens;915;920;924;930;924;918;923;931;909;911;924;934;957;1002;1008;982;1013;1027;1017;1018;1036;1033;1008;1005;1010;975;984
IM;70206;Karres;538;535;552;543;559;568;564;560;570;576;586;592;590;588;592;600;603;609;605;614;605;608;597;598;596;609;606
IM;70207;Karrösten;658;666;664;674;662;672;686;680;688;694;697;697;693;695;681;681;675;676;680;683;687;691;692;677;684;676;683
IM;70208;Längenfeld;3636;3740;3836;3865;3916;3934;3973;4000;4056;4097;4130;4167;4232;4324;4359;4355;4383;4356;4373;4311;4362;4400;4442;4481;4570;4611;4669
IM;70209;Mieming;2419;2487;2531;2509;2540;2556;2689;2731;2811;2908;2962;3005;3030;3104;3185;3245;3325;3367;3428;3439;3477;3478;3494;3531;3601;3698;3761
IM;70210;Mils bei Imst;446;490;515;536;545;552;545;551;552;557;532;547;549;540;539;541;556;552;552;547;534;540;552;560;568;559;596
IM;70211;Mötz;1097;1149;1171;1163;1143;1167;1163;1171;1145;1183;1172;1231;1232;1220;1209;1222;1205;1213;1238;1243;1261;1263;1277;1264;1244;1219;1227
IM;70212;Nassereith;2151;2164;2204;2217;2210;2174;2191;2126;2114;2041;2032;2035;2063;2075;2075;2070;2071;2065;2070;2067;2082;2046;2031;2014;2062;2119;2164
IM;70213;Obsteig;849;860;860;868;885;910;913;933;946;983;1011;1030;1089;1146;1141;1135;1169;1173;1162;1190;1206;1255;1257;1320;1345;1316;1338
IM;70214;Oetz;2139;2130;2141;2180;2234;2237;2194;2187;2199;2233;2206;2215;2249;2236;2250;2248;2251;2254;2266;2314;2335;2333;2337;2362;2377;2402;2359
IM;70215;Rietz;1849;1843;1835;1865;1913;1919;1953;1954;1982;2002;2028;2023;2014;2025;2069;2093;2102;2085;2078;2126;2142;2157;2181;2208;2274;2313;2324
