Time	PM 10	PM 2.5
16:12:55	20,1	7,6
16:12:56	20,3	7,7
16:12:57	19,8	7,6
16:12:58	19,3	7,6
16:12:59	19,8	7,5
16:13:00	19,7	7,5
16:13:01	20,9	7,5
16:13:02	20,7	7,4
16:13:03	20,6	7,4
16:13:04	18,1	7,3
16:13:05	18,3	7,3
16:13:06	18,8	7,3
16:13:07	18,9	7,3
16:13:08	19,5	7,4
16:13:09	19,4	7,4
16:13:10	19,1	7,4
16:13:11	18,3	7,6
16:13:12	20,1	8,4
16:13:13	19,8	8,4
16:13:14	20,9	8,4
16:13:15	19,8	8,4
16:13:16	19,6	8,4
16:13:17	19,6	8,4
16:13:18	19,5	8,4
16:13:19	19,1	8,4
16:13:20	18,5	8,3
16:13:21	17,6	8,4
16:13:22	17,7	8,4
16:13:23	18,2	8,5
16:13:24	18,0	8,5
16:13:25	17,8	8,5
16:13:26	17,6	8,5
16:13:27	17,6	8,5
16:13:28	17,3	8,6
16:13:29	16,5	8,6
16:13:30	16,7	8,5
16:13:31	15,4	8,6
16:13:32	14,8	8,5
16:13:33	14,8	8,5
16:13:34	14,7	8,4
16:13:35	15,2	8,5
16:13:36	14,5	8,5
16:13:37	14,8	8,5
16:13:38	14,4	8,4
16:13:39	13,8	8,4
16:13:40	13,9	8,5
16:13:41	13,9	8,2
16:13:42	12,1	7,5
16:13:43	12,0	7,6
16:13:44	10,9	7,6
16:13:45	11,0	7,7
16:13:46	10,9	7,8
16:13:47	10,6	7,8
16:13:48	10,7	7,9
16:13:49	11,2	8,2
16:13:50	12,4	8,4
16:13:51	12,3	8,3
16:13:52	12,2	8,3
16:13:53	12,3	8,3
16:13:54	12,2	8,2
16:13:55	12,3	8,2
16:13:56	12,2	8,1
16:13:57	12,6	8,2
16:13:58	12,6	8,3
16:13:59	12,7	8,4
16:14:00	12,6	8,4
16:14:01	12,5	8,4
16:14:02	12,8	8,5
16:14:03	12,8	8,6
16:14:04	12,9	8,7
16:14:05	12,4	8,7
16:14:06	12,5	8,7
16:14:07	12,2	8,8
16:14:08	12,3	8,8
16:14:09	12,3	8,9
16:14:10	12,3	8,8
16:14:11	12,2	8,9
16:14:12	12,1	8,9
16:14:13	12,7	8,8
16:14:14	13,0	8,8
16:14:15	12,9	8,7
16:14:16	13,3	8,6
16:14:17	13,1	8,6
16:14:18	13,2	8,5
16:14:19	13,4	8,3
16:14:20	12,5	8,2
16:14:21	12,6	8,2
16:14:22	12,5	8,2
16:14:23	12,0	8,1
16:14:24	12,2	8,2
16:14:25	12,1	8,1
16:14:26	12,0	8,2
16:14:27	11,6	8,1
16:14:28	11,6	8,0
16:14:29	11,5	8,0
16:14:30	11,4	7,9
16:14:31	12,0	7,8
16:14:32	11,9	7,8
16:14:33	11,8	7,7
16:14:34	11,6	7,6
16:14:35	11,4	7,6
16:14:36	11,6	7,6
16:14:37	11,4	7,4
16:14:38	11,2	7,3
16:14:39	11,3	7,3
16:14:40	11,2	7,3
16:14:41	11,2	7,2
16:14:42	11,0	7,1
16:14:43	10,0	7,1
