Time	PM 10	PM 2.5
16:28:37	25,5	7,1
16:28:38	25,4	6,9
16:28:39	24,0	6,9
16:28:40	23,8	6,7
16:28:41	23,7	6,6
16:28:42	24,0	6,6
16:28:43	24,7	6,8
16:28:44	26,7	6,8
16:28:45	27,1	6,8
16:28:46	29,3	6,8
16:28:47	31,2	6,7
16:28:48	32,8	6,7
16:28:49	34,6	6,7
16:28:50	37,8	6,8
16:28:51	39,8	6,8
16:28:52	41,5	6,8
16:29:22	46,6	6,6
16:29:23	45,3	6,6
16:29:24	45,9	6,7
16:29:25	43,1	6,6
16:29:26	41,0	6,5
16:29:27	40,5	6,5
16:29:28	40,6	6,5
16:29:29	36,9	6,3
16:29:30	34,0	6,1
16:29:31	32,7	6,1
16:29:32	27,9	5,9
16:29:33	30,8	6,1
16:29:34	30,1	6,1
16:29:35	28,7	6,1
16:29:36	27,4	6,1
16:29:37	27,5	6,2
16:32:45	12,5	4,9
16:32:46	13,2	5,0
16:32:47	13,2	5,0
16:32:48	13,2	5,0
16:32:49	12,5	5,1
16:32:50	12,9	5,1
16:32:51	13,1	5,1
16:32:52	13,2	5,2
16:32:53	12,6	5,1
16:32:54	12,3	5,0
16:32:55	12,8	5,0
16:32:56	12,7	4,9
16:32:57	11,1	4,8
16:32:58	11,8	4,8
16:32:59	11,9	4,8
16:33:00	11,0	4,7
16:33:01	12,4	4,8
16:33:02	12,4	4,9
16:33:03	13,2	4,9
16:33:04	26,2	5,1
16:33:05	26,6	5,1
16:33:06	28,8	5,2
16:33:07	33,7	5,3
16:33:08	33,6	5,3
16:33:09	33,6	5,2
16:33:10	33,7	5,3
16:33:11	33,2	5,4
16:33:12	33,0	5,3
16:33:13	32,6	5,3
16:33:14	32,7	5,3
16:33:15	45,4	5,7
16:33:16	44,8	5,7
16:33:17	44,8	5,7
16:33:18	45,6	5,7
16:33:19	45,6	5,7
16:33:20	49,8	5,8
16:33:21	52,9	5,9
16:33:22	54,1	6,0
16:33:23	56,6	6,1
16:33:24	56,6	6,1
16:33:25	57,4	6,3
16:33:26	57,8	6,5
16:33:27	57,8	6,4
16:33:28	57,7	6,5
16:33:29	58,1	6,5
16:33:30	59,9	6,5
16:33:31	58,7	6,5
16:33:32	63,2	6,6
16:33:33	62,8	6,7
16:33:34	57,8	6,6
16:33:35	64,2	6,8
16:33:36	63,2	6,7
16:33:37	58,2	6,6
16:33:38	58,6	6,7
16:33:39	58,7	6,8
16:33:40	58,6	6,7
16:33:41	95,6	7,8
16:33:42	100,4	8,2
16:33:43	101,4	8,2
16:33:44	116,4	8,6
16:33:45	103,7	8,3
16:33:46	105,5	8,5
16:33:47	113,3	8,5
16:33:48	112,6	8,6
16:33:49	135,1	9,3
16:33:50	147,2	9,9
16:33:51	152,5	10,3
16:33:52	153,1	10,3
16:33:53	158,3	10,5
16:33:54	169,7	10,9
16:33:55	173,8	11,1
16:33:56	189,5	11,3
16:33:57	193,6	11,5
