Time	PM 10	PM 2.5
15:56:09	8,9	3,7
15:56:10	8,8	3,7
15:56:11	8,6	3,6
15:56:12	8,5	3,6
15:56:13	8,3	3,5
15:56:14	8,8	3,6
15:56:15	8,8	3,6
15:56:16	8,3	3,5
15:56:17	8,4	3,6
15:56:18	8,4	3,6
15:56:19	8,7	3,7
15:56:20	8,4	3,7
15:56:21	8,4	3,6
15:56:22	7,9	3,6
15:56:23	5,6	3,6
15:56:24	6,3	3,7
15:56:25	6,3	3,7
15:57:31	15,3	4,1
15:57:32	15,2	4,1
15:57:33	15,0	4,1
15:57:34	15,6	4,1
15:57:35	16,1	4,1
15:57:36	16,1	4,1
15:57:37	14,9	4,1
15:57:38	14,9	4,1
15:57:39	14,7	3,9
15:57:40	15,3	3,9
15:57:41	15,2	3,8
15:57:42	15,0	3,9
15:57:43	14,7	4,0
15:57:44	12,1	4,1
15:57:45	12,4	4,2
15:57:46	11,5	4,3
15:57:47	11,6	4,4
15:57:48	11,7	4,4
15:57:49	11,7	4,5
15:57:51	11,8	4,4
15:57:52	9,8	4,3
15:57:53	9,5	4,3
15:57:54	8,6	4,3
15:57:55	8,4	4,4
15:57:56	7,9	4,4
15:57:57	7,9	4,3
15:57:58	7,5	4,2
15:57:59	7,6	4,2
15:58:00	7,7	4,1
15:58:01	8,3	4,2
15:58:02	7,5	4,2
15:58:03	7,6	4,2
15:58:04	7,8	4,3
15:58:05	7,1	4,2
15:58:06	6,8	4,2
15:58:07	6,7	4,3
15:58:08	6,7	4,3
15:58:09	6,9	4,3
15:58:10	7,2	4,3
15:58:11	7,0	4,3
15:58:12	6,9	4,1
15:58:13	6,8	4,0
15:58:14	6,7	3,8
15:58:15	6,4	3,7
15:58:16	6,3	3,6
15:58:17	6,1	3,5
15:58:18	6,1	3,4
15:58:19	5,9	3,3
15:58:20	6,0	3,2
15:58:21	6,4	3,3
15:58:22	6,8	3,3
15:58:23	6,8	3,4
15:58:24	6,8	3,4
15:58:25	6,7	3,3
15:58:26	6,8	3,3
15:58:27	7,1	3,4
15:58:28	7,8	3,4
15:58:29	7,6	3,4
15:58:30	7,4	3,4
15:58:31	6,6	3,2
15:58:32	6,7	3,2
15:58:33	6,5	3,1
15:58:34	6,4	3,0
15:58:35	6,4	3,0
15:58:36	6,3	3,0
15:58:37	6,3	2,9
15:58:38	6,4	3,0
15:58:39	6,5	3,0
15:58:40	6,2	2,9
15:58:41	6,3	2,9
15:58:42	6,1	2,9
15:58:43	6,3	2,9
15:58:44	6,3	2,9
15:58:45	6,4	2,9
15:58:46	6,4	2,9
15:58:47	6,7	2,9
15:58:48	6,6	2,9
15:58:49	6,6	2,9
15:58:50	6,5	2,9
15:58:51	5,9	2,9
15:58:52	6,0	2,9
15:58:53	6,0	2,8
15:58:54	5,9	2,8
15:58:55	6,1	2,8
15:58:56	6,1	2,9
15:58:57	6,3	2,8
15:58:58	5,6	2,8
15:58:59	5,7	2,8
15:59:00	5,8	2,9
15:59:01	5,9	3,0
15:59:02	5,8	3,0
15:59:03	5,9	3,0
15:59:04	6,1	3,1
15:59:05	6,1	3,1
15:59:06	6,2	3,1
15:59:07	6,5	3,1
16:00:09	10,7	3,6
16:00:10	10,6	3,5
16:00:11	10,5	3,4
16:00:12	10,4	3,4
16:00:13	10,8	3,5
16:00:14	11,6	3,5
16:00:15	11,6	3,5
16:00:16	11,6	3,4
16:00:17	11,9	3,4
16:00:18	12,3	3,3
16:00:19	12,1	3,3
16:00:20	11,3	3,3
16:00:21	11,5	3,2
16:00:22	12,3	3,3
16:00:23	12,3	3,4
16:00:24	10,8	3,4
16:00:25	10,6	3,3
16:00:26	10,6	3,4
16:00:27	10,5	3,4
16:00:28	10,4	3,4
16:00:29	10,4	3,4
16:00:30	10,2	3,5
16:00:31	10,2	3,5
16:00:32	9,4	3,5
16:00:33	9,3	3,5
16:00:34	9,3	3,5
16:00:35	9,9	3,5
16:00:36	9,9	3,4
16:00:37	9,9	3,5
16:00:38	9,1	3,4
16:00:39	8,6	3,5
16:00:40	8,6	3,5
16:00:41	8,6	3,5
16:00:42	10,3	3,5
16:00:43	10,0	3,5
16:00:44	9,2	3,5
16:00:45	9,3	3,5
16:00:46	9,3	3,5
16:00:47	9,0	3,6
16:00:48	8,8	3,6
16:00:49	8,8	3,6
16:00:50	9,1	3,6
16:00:51	9,0	3,5
16:00:52	8,9	3,5
16:00:53	8,9	3,5
16:00:54	8,9	3,4
16:00:55	8,8	3,4
16:00:56	8,9	3,4
16:00:57	8,9	3,4
16:00:58	9,6	3,4
16:00:59	10,2	3,4
16:01:00	10,4	3,5
16:01:01	10,4	3,5
16:01:02	10,4	3,5
16:01:03	10,4	3,5
16:01:04	10,9	3,6
16:01:05	10,0	3,6
16:01:06	10,2	3,6
16:01:07	10,3	3,6
16:01:08	10,4	3,6
16:01:09	10,4	3,5
16:01:10	10,5	3,5
16:01:11	11,5	3,8
16:01:12	9,9	4,0
16:01:13	9,9	4,1
16:01:14	10,0	4,2
16:01:15	10,1	4,3
16:01:16	10,4	4,4
16:01:17	11,1	4,6
16:01:18	11,2	4,7
16:01:19	11,1	4,7
16:01:20	10,9	4,7
16:01:21	11,6	4,8
16:01:22	11,0	4,9
16:01:23	11,0	4,8
16:01:24	11,1	4,9
16:01:25	11,3	4,9
16:01:26	11,2	4,9
16:01:27	11,5	4,9
16:01:28	11,3	4,9
16:01:29	10,9	4,8
16:01:30	10,7	4,8
16:01:31	11,0	4,8
16:01:32	10,9	4,7
16:01:33	11,0	4,7
16:01:34	10,6	4,7
16:01:35	10,7	4,7
16:01:36	10,6	4,6
16:01:37	9,8	4,6
16:01:38	10,3	4,7
16:01:39	10,8	4,8
16:01:40	10,6	4,7
16:01:41	10,5	4,5
16:01:42	10,6	4,2
16:01:43	10,6	4,1
16:01:44	10,6	4,0
16:01:45	11,6	3,9
16:01:46	12,0	3,8
16:01:47	12,0	3,7
16:01:48	12,0	3,6
