Time	PM 10	PM 2.5
16:19:36	14,2	10,1
16:19:37	14,0	10,2
16:19:38	14,3	10,5
16:19:39	14,7	10,9
16:19:40	13,9	11,2
16:19:41	14,6	11,6
16:19:42	14,6	11,8
16:19:43	15,1	12,1
16:19:44	15,6	12,3
16:19:45	15,7	12,4
16:19:46	16,4	12,7
16:19:47	16,7	12,9
16:19:48	17,0	13,0
16:19:49	16,7	12,9
16:19:50	16,7	12,7
16:19:51	16,6	12,6
16:19:52	15,9	12,6
16:19:53	15,6	12,4
16:19:54	15,4	12,3
16:19:55	15,8	12,1
16:19:56	15,6	11,9
16:19:57	15,3	11,7
16:19:58	15,1	11,6
16:19:59	14,8	11,3
16:20:00	14,7	11,1
16:20:01	14,5	11,0
16:20:02	14,3	10,9
16:20:03	14,0	10,6
16:20:04	13,8	10,4
16:20:05	14,6	10,3
16:20:06	14,4	10,1
16:20:07	14,3	10,1
16:20:08	15,2	10,1
16:20:09	14,9	9,9
16:20:10	15,4	9,9
16:20:11	14,8	9,6
16:20:12	15,6	9,6
16:20:13	15,6	9,6
16:20:14	15,7	9,4
16:20:15	15,7	9,5
16:20:16	15,3	9,4
16:20:17	16,0	9,5
16:20:18	16,6	9,5
16:20:19	16,7	9,6
16:20:20	17,3	9,7
16:20:21	17,4	9,8
16:20:22	17,5	9,8
16:20:23	17,8	10,0
16:20:24	18,5	10,3
16:20:25	18,3	10,4
16:20:26	19,2	10,6
16:20:27	20,9	10,8
16:20:28	21,9	11,0
16:20:29	23,0	11,4
16:20:30	25,3	11,8
16:20:31	27,9	12,2
16:20:32	33,4	13,0
16:20:33	37,5	13,4
16:20:34	47,9	14,5
16:20:35	55,3	14,9
16:20:36	56,4	15,3
16:20:37	56,4	15,4
16:20:38	56,1	15,3
16:20:39	56,5	15,4
16:20:40	56,2	15,6
16:20:41	56,3	15,7
16:20:42	55,5	15,8
16:20:43	56,2	15,7
16:20:44	55,7	15,8
16:20:45	55,8	15,8
16:20:46	55,9	15,8
16:20:47	55,0	15,7
16:20:48	54,5	15,8
16:20:49	54,8	15,9
16:20:50	54,4	16,0
16:20:51	54,7	16,1
16:20:52	55,0	16,2
16:20:53	55,1	16,2
16:20:54	54,7	16,1
16:20:55	54,8	16,3
16:20:56	54,1	16,3
16:20:57	52,7	16,2
16:20:58	51,5	16,1
16:20:59	50,7	15,9
16:21:00	48,5	15,6
16:21:01	46,1	15,3
16:21:02	40,8	14,7
