Time	PM 10	PM 2.5
16:05:34	8,5	5,7
16:05:35	8,5	5,7
16:05:36	8,6	5,8
16:05:37	7,9	5,7
16:05:38	7,8	5,8
16:05:39	7,7	5,8
16:05:40	7,7	5,7
16:05:41	7,6	5,6
16:05:42	7,6	5,7
16:05:43	7,6	5,7
16:05:44	7,7	5,7
16:05:45	7,7	5,6
16:05:46	7,6	5,6
16:05:47	7,6	5,6
16:05:48	8,3	5,5
16:05:49	8,2	5,5
16:05:50	8,5	5,5
16:05:51	8,5	5,5
16:05:52	8,3	5,4
16:05:53	7,6	5,3
16:05:54	7,6	5,1
16:05:55	7,7	5,1
16:05:56	7,6	5,1
16:05:57	8,5	5,1
16:05:58	8,3	5,1
16:05:59	8,3	5,1
16:06:00	8,3	5,1
16:06:01	8,5	5,1
16:06:02	8,3	5,1
16:06:03	8,2	5,1
16:06:04	8,2	5,0
16:06:05	8,0	4,9
16:06:06	8,0	4,8
16:06:07	7,9	4,8
16:06:08	8,0	4,8
16:06:09	7,9	4,7
16:06:10	7,7	4,6
16:06:11	7,7	4,6
16:06:12	7,8	4,6
16:06:13	7,8	4,6
16:06:14	7,7	4,5
16:06:15	8,2	4,6
16:06:16	8,2	4,6
16:06:17	8,2	4,6
16:06:18	7,3	4,6
16:06:19	7,4	4,6
16:06:20	7,1	4,5
16:06:21	7,0	4,4
16:06:22	7,1	4,4
16:06:23	7,2	4,4
16:06:24	7,1	4,4
16:06:25	7,1	4,5
16:06:26	7,1	4,5
16:06:27	5,8	4,4
16:06:28	5,8	4,4
16:06:29	5,7	4,3
16:06:30	5,7	4,3
16:06:31	5,6	4,3
16:06:32	5,8	4,3
16:06:33	6,3	4,3
16:06:34	6,5	4,3
16:06:35	6,6	4,5
16:06:36	6,6	4,5
16:06:37	6,6	4,5
16:06:38	6,5	4,4
16:06:39	6,7	4,5
16:06:40	6,8	4,6
16:06:41	6,8	4,7
16:06:42	6,8	4,6
16:06:43	6,7	4,6
16:06:44	6,8	4,6
